t_valid,Za_v,Za_a,Ra,Xa,Zb_v,Zb_a,Rb,Xb,Zc_v,Zc_a,Rc,Xc
0.019,561.366624086938,-144.780405776309,-458.607183681726,-323.746718461024,556.790617861565,-153.243298240633,-497.172980877198,-250.668744011583,494.414037007922,-149.852916443079,-427.539102660609,-248.305367816791
0.02,593.894731602816,-147.768659528566,-502.376479465353,-316.747257455496,527.965128183214,-154.368160673837,-476.009281915036,-228.39076187151,494.351918192846,-145.79478348937,-408.843568217988,-277.904220456851
0.021,593.761432054937,-151.878378888633,-523.667338271166,-279.866319917065,501.760508854878,-153.391117957842,-448.616451276172,-224.737375375526,525.154791075882,-142.937282081527,-419.061058421847,-316.504950836973
0.022,567.988667240118,-154.744371704678,-513.696469838588,-242.336672809911,487.84597945612,-150.474524393183,-424.492672154034,-240.415621287446,572.699399708554,-144.034511558077,-463.526225334845,-336.345121643483
0.023,534.691699567626,-155.450822005109,-486.358241827043,-222.150566493594,497.29861244649,-146.730070518945,-415.789077146335,-272.810104774371,598.740098098986,-148.469192145214,-510.341567805499,-313.115297041533
0.024,506.980770739626,-153.968625779816,-455.54953193064,-222.495226594908,533.462091378243,-144.709337907086,-435.428700070392,-308.194175955124,588.99316513038,-152.838913161544,-524.042893328788,-268.871706436165
0.025,494.532523362461,-150.67640806072,-431.166929689848,-242.193095287775,575.752463456908,-146.318689124413,-479.103811168186,-319.296785609905,560.333098615377,-155.221242101608,-508.744869615742,-234.844286802067
0.026,506.848831660565,-146.879934751348,-424.499793198474,-276.939819690366,593.717829686865,-150.182447784026,-515.117406923763,-295.22011850858,528.817401187128,-155.377493371149,-480.733366277259,-220.325382890947
0.027,544.157282028796,-145.178707318603,-446.718879089233,-310.723978235066,581.862678029124,-153.676057848615,-521.524220182848,-258.02454116982,504.006177099655,-153.444513736529,-450.834450787044,-225.323155796634
0.028,582.691568656001,-147.125668223261,-489.38115868203,-316.283963725361,553.75636139712,-155.44070497836,-503.658920679857,-230.160377579155,495.54771699241,-149.84843996269,-428.499994241524,-248.908205472226
0.029,593.931458684791,-151.003244792999,-519.480464542045,-287.914266014425,522.971655527921,-155.125694146405,-474.457005642854,-219.977049443869,513.411586451031,-146.201599104117,-426.64502575144,-285.596707095368
0.03,576.757467705172,-154.216462421909,-519.337678023365,-250.87357919674,500.285376902735,-152.751352005876,-444.76768087556,-229.057129099462,553.7988997174,-145.26050346257,-455.085029991308,-315.580159081672
0.031,546.550683939154,-155.551068625674,-497.541774849866,-226.207498535311,496.811221525228,-148.928443005584,-425.530435959697,-256.408342113395,588.069129278799,-147.911061127696,-498.226570335741,-312.402921596789
0.032,516.651726843538,-154.765484580593,-467.34785692502,-220.26118014303,521.055724631046,-145.661364863352,-430.24515089348,-293.918659331849,591.969059138373,-151.850999236935,-521.953162426521,-279.270949456123
0.033,497.42167427414,-151.985301103251,-439.137345927757,-233.637996587058,563.18640391935,-145.596763448814,-464.674729578417,-318.20798426632,570.521396903279,-154.698458330575,-515.791878532273,-243.830683804599
0.034,499.777365210422,-148.061821185373,-424.120756001326,-264.384188455996,591.7520944672,-148.790867342951,-506.114724560539,-306.624243805553,539.514919417384,-155.561572904159,-491.177833051908,-223.205476170228
0.035,529.816077985782,-145.311882201794,-435.647671655951,-301.523104708388,588.84002854259,-152.630428885624,-522.925078353249,-270.706375328116,511.138815724185,-154.308887030776,-460.609817240636,-221.588549346464
0.036,571.854984976572,-146.095551982864,-474.621900546046,-318.986167983212,563.998200962913,-155.070943948508,-511.450703123525,-237.722840644003,495.711218661203,-151.156138246749,-434.212107781242,-239.143174192252
0.037,593.81510648405,-149.683276515228,-512.609852904905,-299.74575792407,532.639795947175,-155.464658216577,-484.545246614766,-221.181048486719,504.146864822714,-147.240909675854,-423.96390587621,-272.79785157651
0.038,584.627505355986,-153.332140336809,-522.436757894335,-262.391223213771,506.20093147443,-153.753457500034,-454.011326755217,-223.859550172756,539.225770171254,-145.143547052242,-442.481383344324,-308.17958499952
